VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Algeria,2017,5,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Algeria,2018,5,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Algeria,2019,5,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Algeria,2020,5,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Algeria,2021,5,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Cyprus,2017,0.19,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Cyprus,2018,0.19,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Cyprus,2019,0.19,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Cyprus,2020,0.19,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Cyprus,2021,0.19,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Egypt,2017,49,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Egypt,2018,49,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Egypt,2019,49,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Egypt,2020,49,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Egypt,2021,49,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,France,2017,35,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,France,2018,35,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,France,2019,35,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,France,2020,35,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,France,2021,35,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Greece,2017,21,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Greece,2018,21,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Greece,2019,21,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Greece,2020,21,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Greece,2021,21,10^9 m3/year,I,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Israel,2017,0.126,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Israel,2018,0.126,10^9 m3/year,-,FALSE
Water resources,Exploitable water resources and dam capacity,Exploitable: irregular renewable surface water,Israel,2019,0.126,10^9 m3/year,I,FALSE
