VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Afghanistan,2017,9.321654583,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Afghanistan,2018,13.59914924,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Afghanistan,2019,14.54760333,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Afghanistan,2020,14.49590198,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Afghanistan,2021,12.19551699,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Albania,2017,19.64698749,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Albania,2018,22.89934969,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Albania,2019,11.39915616,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Albania,2020,133.5275905,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Albania,2021,250.262475,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Algeria,2017,324.6228847,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Algeria,2018,351.425942,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Algeria,2019,335.9234375,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Algeria,2020,279.3433084,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Algeria,2021,349.8363996,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Angola,2017,196.7908761,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Angola,2018,219.1755149,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Angola,2019,225.747718,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Angola,2020,182.756413,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Angola,2021,185.3779752,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Antigua and Barbuda,2017,88.387119,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Antigua and Barbuda,2018,110.0100506,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Antigua and Barbuda,2019,114.5745836,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Antigua and Barbuda,2020,86.94159713,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Antigua and Barbuda,2021,90.51898431,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Argentina,2017,32.55100541,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Argentina,2018,32.16822152,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Argentina,2019,32.06530487,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Argentina,2020,27.99349277,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Argentina,2021,31.37536133,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Armenia,2017,19.71886118,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Armenia,2018,19.03994979,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Armenia,2019,23.6497464,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Armenia,2020,14.85560823,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Armenia,2021,26.93295939,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Australia,2017,104.3200802,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Australia,2018,103.8724493,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Australia,2019,112.5332373,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Australia,2020,113.1147153,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Australia,2021,122.4378247,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Austria,2017,39.66175383,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Austria,2018,41.47998327,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Austria,2019,42.55221655,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Austria,2020,40.28854873,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Austria,2021,42.71070152,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Azerbaijan,2017,44.30123199,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Azerbaijan,2018,52.62112568,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Azerbaijan,2019,44.99120548,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Azerbaijan,2020,36.66555969,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Azerbaijan,2021,42.61276696,US$/m3,E,FALSE
Water use,Pressure on water resources,SDG 6.4.1. Industrial Water Use Efficiency,Bahrain,2017,950.5260157,US$/m3,E,FALSE
